Student ID,Name,Total Percentage,Reservation Category
2301170,davender,95.0,ST
2302118,jaidul,98.75,EWS
2304233,raghuvinder,96.0,General
2304340,rama,97.0,ST
2304715,rukshana,95.5,General
2304873,saifali,96.25,ST
2304875,saimun,98.25,EWS
2304880,saizad,96.0,SC
2304881,sajan,97.75,General
2304882,sajana,97.0,EWS
2304883,sajda,96.5,EWS
2304884,sajia,97.0,EWS
2304885,sajid,96.25,EWS
2304886,sajida,99.75,EWS
2304887,sajini,97.75,EWS
2304888,sajiya,97.5,General
2304889,sajjan,96.75,General
2304890,sajju,97.0,ST
2304891,sajma,97.5,General
2304892,sajmeen,97.5,EWS
2304893,sajni,97.0,SC
2304894,sajruddin,98.25,SC
2304895,saka,97.75,ST
2304896,sakal,97.5,SC
2304897,sakcham,98.25,ST
2305090,sarju,98.25,General
2305113,sarvjeet,95.25,SC
2306323,vimla,97.75,SC
2306477,zeshan,96.0,EWS
2300004,aadesh,76.25,SC
2300007,aaditya,76.25,SC
2300036,aanik,82.25,SC
2300090,abhaki,83.0,SC
2300174,ajay,75.75,SC
2300209,akhtari,83.75,SC
2300229,albaksha,75.25,SC
2300248,allauddin,88.0,SC
2300324,amzad,88.0,SC
2300399,anshika,78.0,SC
2300485,asanti,76.75,SC
2300486,asarfi,78.25,SC
2300488,asfaq,76.75,SC
2300511,asho,80.0,SC
2300518,ashsish,75.75,SC
2300545,ateek,82.5,SC
2300548,atish,80.75,SC
2300577,ayub,90.75,SC
2300624,badrealam,82.25,SC
2300725,beauty,87.0,SC
2300016,aajiv,77.0,EWS
2300027,aamina,70.0,EWS
2300035,aanchal,71.0,EWS
2300091,abhash,85.5,EWS
2300135,adityalok,73.25,EWS
2300155,afzal,78.5,EWS
2300169,ajab,80.75,EWS
2300171,ajahar,78.0,EWS
2300184,ajman,75.75,EWS
2300185,ajmer,76.25,EWS
2300232,alema,85.75,EWS
2300237,alima,77.75,EWS
2300254,altaf,85.5,EWS
2300299,amlesh,80.75,EWS
2300334,anantram,78.0,EWS
2300376,ankeet,71.25,EWS
2300395,anoura,71.0,EWS
2300468,arshad,74.5,EWS
2300469,arshi,78.0,EWS
2300491,asha,85.0,EWS
2300008,aaenab,65.25,ST
2300040,aanya,83.5,ST
2300050,aarushi,86.25,ST
2300056,aashia,88.0,ST
2300062,aashma,78.25,ST
2300070,aasto,68.25,ST
2300075,aatir,75.25,ST
2300079,aaysha,68.75,ST
2300082,aazadi,79.0,ST
2300095,abhijeet,69.75,ST
