Student_id,Name,Physics_marks,Chemistry_marks,Math_marks,Aptitude_test,Total_percentage,Reservation_category
2300001,aabid,83,34,34,55,51.5,General
2300002,aabida,43,38,43,98,55.5,General
2300003,aachal,86,67,85,96,83.5,General
2300004,aadesh,98,68,90,49,76.25,SC
2300005,aadil,46,58,71,61,59,General
2300006,aadish,82,21,87,77,66.75,EWS
2300007,aaditya,65,96,44,100,76.25,SC
2300008,aaenab,85,60,46,70,65.25,ST
2300009,aafreen,59,20,48,77,51,General
2300010,aafrin,18,50,23,59,37.5,SC
2300011,aaftaab,21,65,73,43,50.5,EWS
2300012,aaftab,69,30,31,41,42.75,ST
2300013,aagand,38,53,95,81,66.75,EWS
2300014,aahim,42,72,49,67,57.5,ST
2300015,aajad,19,89,84,80,68,General
2300016,aajiv,94,81,94,39,77,EWS
2300017,aakanksha,46,53,42,44,46.25,EWS
2300018,aakar,24,47,53,88,53,General
2300019,aakas,37,79,27,19,40.5,EWS
2300020,aakash,47,100,72,22,60.25,EWS
2300021,aakib,42,47,29,63,45.25,EWS
2300022,aalam,63,89,41,35,57,EWS
2300023,aalina,77,64,75,78,73.5,General
2300024,aaliya,71,65,27,70,58.25,ST
2300025,aamil,77,36,55,62,57.5,SC
2300026,aamin,36,78,47,30,47.75,ST
2300027,aamina,78,81,21,100,70,EWS
2300028,aamir,41,48,68,81,59.5,ST
2300029,aamod,19,85,15,84,50.75,SC
2300030,aamosh,75,23,65,53,54,General
2300031,aamrin,42,93,27,26,47,ST
2300032,aanad,21,76,51,88,59,ST
2300033,aanamika,82,51,83,53,67.25,EWS
2300034,aanand,31,21,82,28,40.5,EWS
2300035,aanchal,76,51,84,73,71,EWS
2300036,aanik,86,88,82,73,82.25,SC
2300037,aanil,54,50,31,36,42.75,EWS
2300038,aansi,51,53,69,64,59.25,ST
2300039,aansu,66,61,54,21,50.5,SC
2300040,aanya,91,65,91,87,83.5,ST
2300041,aaradhana,66,46,53,22,46.75,SC
2300042,aarati,40,68,37,58,50.75,SC
2300043,aarav,58,63,79,66,66.5,SC
2300044,aardhna,35,60,94,67,64,SC
2300045,aarif,45,95,19,54,53.25,SC
2300046,aarifa,62,16,47,67,48,General
2300047,aarifun,27,94,16,98,58.75,EWS
2300048,aarju,75,45,62,41,55.75,EWS
2300049,aarti,28,79,20,70,49.25,ST
2300050,aarushi,80,98,74,93,86.25,ST
2300051,aas,64,26,46,23,39.75,EWS
2300052,aasa,48,27,66,49,47.5,ST
2300053,aash,45,100,64,61,67.5,SC
2300054,aasha,32,60,57,84,58.25,ST
2300055,aashi,24,29,79,40,43,SC
2300056,aashia,94,65,98,95,88,ST
2300057,aashif,75,42,100,81,74.5,General
2300058,aashik,72,20,31,70,48.25,ST
2300059,aashis,17,18,58,30,30.75,EWS
2300060,aashish,89,32,22,83,56.5,ST
2300061,aashiya,81,38,91,29,59.75,SC
2300062,aashma,98,53,96,66,78.25,ST
2300063,aashu,44,60,54,25,45.75,SC
2300064,aasif,47,22,74,82,56.25,EWS
2300065,aasim,31,69,93,54,61.75,SC
2300066,aasish,82,15,24,49,42.5,EWS
2300067,aasma,41,21,34,61,39.25,EWS
2300068,aasmin,22,20,94,58,48.5,General
2300069,aastha,98,53,48,98,74.25,SC
2300070,aasto,33,92,59,89,68.25,ST
2300071,aasu,97,29,64,86,69,General
2300072,aatam,39,38,47,26,37.5,ST
2300073,aatif,99,91,22,36,62,SC
2300074,aatikun,36,51,70,39,49,SC
2300075,aatir,97,38,68,98,75.25,ST
2300076,aavesh,63,16,77,59,53.75,SC
2300077,aayana,60,29,93,71,63.25,ST
2300078,aayesha,54,25,30,21,32.5,SC
2300079,aaysha,18,98,94,65,68.75,ST
2300080,aayush,22,98,40,84,61,General
2300081,aazad,32,42,88,80,60.5,ST
2300082,aazadi,83,79,84,70,79,ST
2300083,abash,33,23,89,89,58.5,General
2300084,abbal,59,41,25,45,42.5,General
2300085,abbas,48,68,90,60,66.5,SC
2300086,abdul,23,97,90,18,57,SC
2300087,abdulla,66,75,69,57,66.75,EWS
2300088,abdullah,19,58,66,58,50.25,SC
2300089,abha,89,32,59,19,49.75,EWS
2300090,abhaki,92,65,75,100,83,SC
2300091,abhash,98,97,93,54,85.5,EWS
2300092,abhay,47,59,87,79,68,EWS
2300093,abhaysingh,46,95,31,65,59.25,EWS
2300094,abhi,46,59,84,16,51.25,EWS
2300095,abhijeet,80,62,42,95,69.75,ST
2300096,abhijit,75,40,40,77,58,General
2300097,abhilash,49,98,77,21,61.25,General
2300098,abhilasha,26,30,30,72,39.5,EWS
2300099,abhimanu,63,92,82,36,68.25,ST
2300100,abhimanyu,15,38,50,40,35.75,SC
2300101,abhinandan,43,23,63,77,51.5,EWS
2300102,abhinash,56,53,19,75,50.75,SC
